Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,Expected Loss (in Rs.)
133,3.7,33.1,0.0083,2054.4990000000003
134,4.61,3.95,0.0008,354.23240000000004
135,12.01,23.4,0.0028,2575.9048
136,23.35,36.89,0.0099,14588.823150000002
137,6.95,34.73,0.0072,3266.1108
138,8.99,29.33,0.0073,4637.86009
139,4.43,21.0,0.0063,2204.811
140,10.27,7.3,0.0041,3903.3189
141,22.71,24.7,0.0067,11457.422100000002
142,17.95,38.31,0.0006,664.4012999999999
143,20.48,30.63,0.0039,5540.72064
144,19.79,33.64,0.0042,5515.71048
145,12.04,14.15,0.003,3100.902
146,6.02,28.75,0.0049,2101.7324999999996
147,21.42,20.64,0.0062,10539.32544
148,6.41,35.78,0.008,3293.2016000000003
149,2.91,6.58,0.0007,190.29654000000002
150,24.69,7.65,0.0062,14136.753299999998
151,20.65,32.09,0.0095,13322.244250000002
152,22.59,10.93,0.0028,5633.855640000001
153,7.85,13.06,0.0076,5186.840399999999
154,15.23,6.7,0.0035,4973.356500000001
155,17.09,37.73,0.0002,212.83885999999998
156,2.28,9.97,0.0062,1272.6640799999998
157,18.73,22.53,0.0049,7109.96419
158,20.65,12.98,0.0042,7547.244599999998
159,4.31,11.48,0.0021,801.1945199999999
160,15.91,24.35,0.0023,2768.2604499999998
161,17.97,19.94,0.0061,8775.937020000001
162,15.48,6.93,0.0016,2305.15776
163,18.75,4.93,0.0017,3030.35625
164,6.65,27.29,0.0047,2272.551050000001
165,15.94,13.04,0.0002,277.22848
166,6.64,30.41,0.0,0.0
167,17.29,35.48,0.0092,10263.06736
168,21.0,38.65,0.0076,9791.46
169,5.07,26.56,0.0091,3388.30128
170,2.62,26.87,0.0023,440.68138
171,16.14,22.56,0.0064,7999.242240000001
172,1.96,26.5,0.003,432.17999999999995
173,10.48,29.41,0.0076,5622.352319999999
174,20.01,36.15,0.009,11498.746500000001
175,7.4,26.02,0.0067,3667.9284000000007
176,23.68,30.66,0.0045,7388.8704
177,4.8,36.15,0.0096,2942.208
178,7.34,39.28,0.0044,1961.0131199999998
179,21.63,24.63,0.0092,14998.32852
180,6.29,4.94,0.0016,956.6838399999999
181,15.18,15.49,0.003,3848.5853999999995
182,22.72,1.53,0.0002,447.44768
183,13.28,17.18,0.0059,6489.11264
184,2.47,31.07,0.0046,783.1826600000002
185,18.02,14.6,0.0055,8463.993999999999
186,18.3,36.79,0.0054,6246.412200000001
187,10.47,22.89,0.0062,5005.51854
188,23.76,0.11,0.0017,4034.75688
189,9.02,28.3,0.0046,2974.9763999999996
190,10.52,28.79,0.0057,4270.03644
191,16.75,22.87,0.0047,6072.05925
192,8.05,28.58,0.0016,919.8896000000002
193,23.17,26.33,0.0067,11436.45713
194,3.37,11.42,0.0055,1641.8302999999999
195,8.79,38.51,0.0049,2648.4357899999995
196,5.81,2.84,0.0075,4233.746999999999
197,21.12,31.13,0.0062,9018.113280000001
198,1.61,15.47,0.0066,898.21578
199,5.69,7.61,0.003,1577.0973000000001
200,13.74,30.89,0.0062,5887.342680000001
201,14.14,4.67,0.0039,5257.06818
202,18.39,6.44,0.0059,10151.35356
203,12.38,6.97,0.001,1151.7114
204,16.33,21.12,0.0009,1159.29936
205,14.06,20.09,0.0044,4943.552240000001
206,1.5,14.73,0.001,127.90500000000002
207,19.49,20.49,0.0099,15341.534010000001
208,11.41,12.84,0.003,2983.4868000000006
209,21.18,37.26,0.0092,12225.26544
210,19.71,18.65,0.0054,8658.405900000002
211,3.62,7.53,0.0023,769.90522
212,8.08,16.41,0.0058,3917.3617599999993
213,14.72,23.82,0.008,8970.9568
214,15.17,38.68,0.0014,1302.31416
215,13.1,12.87,0.007,7989.821
216,18.51,35.35,0.0097,11607.71355
217,9.59,3.24,0.0012,1113.51408
218,8.53,33.21,0.0017,968.5217899999998
219,10.46,1.37,0.0064,6602.686720000001
220,14.35,3.28,0.0093,12907.767600000001
221,7.34,3.79,0.0042,2965.9618799999994
222,9.67,4.09,0.0059,5471.95323
223,10.57,4.11,0.0079,8007.10267
224,16.45,20.32,0.0078,10223.740799999998
225,22.45,11.58,0.0081,16078.734899999998
226,8.69,19.33,0.0089,6239.098469999999
227,14.71,31.61,0.002,2012.0338000000002
228,11.3,34.09,0.0,0.0
229,9.45,14.12,0.004,3246.264
230,19.75,38.81,0.0023,2779.55575
231,9.31,34.71,0.0013,790.20487
232,1.87,37.17,0.0051,599.2097100000001
233,6.28,13.94,0.0048,2594.1926399999998
234,23.05,27.71,0.0009,1499.6560499999998
235,17.28,17.96,0.0022,3118.832640000001
236,2.98,35.28,0.0076,1465.77856
237,0.09,33.54,0.0057,34.09398000000001
238,2.34,27.12,0.0064,1091.45088
239,7.24,25.8,0.0008,429.76640000000003
240,14.18,28.87,0.0011,1109.48574
241,19.89,27.58,0.0056,8066.429279999999
242,4.61,30.67,0.0083,2652.7737900000006
243,22.55,19.51,0.0039,7078.69305
244,14.7,34.72,0.0019,1823.2704000000003
245,9.6,5.04,0.0037,3372.9792
246,1.51,27.56,0.0061,667.24484
247,22.18,17.54,0.0006,1097.37768
248,19.02,34.45,0.0019,2368.8458999999993
249,0.3,35.13,0.0018,35.0298
250,2.17,2.64,0.0059,1246.50008
251,20.63,36.87,0.004,5209.4875999999995
252,12.63,24.75,0.0007,665.28525
253,23.51,31.82,0.0082,13143.876760000001
254,13.39,6.91,0.0004,498.59004000000004
255,12.51,38.56,0.0015,1152.9216000000001
256,21.75,2.25,0.0093,19772.38125
257,2.08,36.27,0.0062,821.86208
258,0.82,16.07,0.0031,213.35005999999993
259,9.8,4.9,0.0077,7176.246000000001
260,14.3,37.01,0.0013,1170.9841000000001
261,23.06,24.36,0.0047,8198.014479999998
262,3.57,13.95,0.0036,1105.9145999999998
263,0.52,12.56,0.0095,431.9536
264,5.25,25.19,0.0038,1492.4595
265,5.03,37.77,0.0024,751.24056
266,14.67,38.05,0.0027,2453.7775500000002
267,20.59,28.61,0.005,7349.6005000000005
268,22.42,20.89,0.0001,177.36462
269,18.79,26.9,0.001,1373.5490000000002
270,22.11,30.98,0.0043,6561.9384599999985
271,2.55,16.07,0.0081,1733.5741499999995
272,5.04,10.19,0.0026,1176.87024
273,2.31,10.09,0.0093,1931.5365299999999
274,15.37,31.97,0.0004,418.24844
275,21.05,29.96,0.0013,1916.6445999999996
276,23.0,31.16,0.0051,8074.932000000002
277,14.81,30.02,0.0085,8809.432300000002
278,22.92,37.66,0.0067,9573.17976
279,16.32,10.0,0.0076,11162.88
280,20.65,25.77,0.0012,1839.4193999999995
281,6.99,15.28,0.0073,4323.00744
282,12.09,8.21,0.0089,9876.69579
283,18.62,1.06,0.0012,2210.7153599999997
284,9.49,20.89,0.0077,5780.80503
285,10.81,0.9,0.0068,7284.6428000000005
286,3.06,2.92,0.0046,1366.49808
287,7.65,11.79,0.0073,4926.08745
288,18.67,33.79,0.002,2472.2814000000003
289,9.98,19.38,0.0058,4666.60808
290,11.76,13.7,0.0054,5480.3952
291,13.94,25.68,0.0039,4040.4811200000004
292,9.54,35.38,0.0051,3144.02148
293,1.52,37.79,0.0019,179.66248
294,13.13,16.92,0.0088,9599.39552
295,19.85,31.76,0.0089,12055.619600000002
296,9.46,3.7,0.0031,2824.0938
297,14.66,7.87,0.0061,8238.81738
298,6.46,39.48,0.0033,1290.1653599999997
299,14.97,34.05,0.0092,9082.8978
300,3.22,21.69,0.0091,2294.6396200000004
301,20.57,24.25,0.0064,9972.336000000003
302,17.22,21.78,0.0094,12661.31496
303,8.43,21.13,0.0054,3590.3201400000003
304,10.55,28.77,0.001,751.4765
305,21.27,37.56,0.0052,6906.113759999999
306,13.69,14.89,0.0059,6874.4198099999985
307,12.25,31.68,0.0096,8034.432
308,3.38,10.36,0.0063,1908.79416
309,1.66,23.75,0.0045,569.5874999999999
310,7.41,3.09,0.0084,6032.06604
311,6.07,25.04,0.0024,1092.01728
312,8.11,2.37,0.0002,158.35585999999998
313,20.6,10.27,0.0087,16081.4106
314,13.4,16.68,0.0096,10718.2848
315,18.16,18.82,0.006,8845.3728
316,10.29,26.62,0.0013,981.6042599999998
317,2.98,23.74,0.0025,568.1370000000001
318,13.91,14.85,0.0059,6988.17535
319,6.81,33.82,0.0003,135.20573999999996
320,5.88,20.22,0.002,938.2128
321,14.15,33.38,0.0007,659.8711
322,24.88,32.24,0.0059,9946.625919999997
323,12.32,12.58,0.0084,9046.92096
324,3.73,4.23,0.0066,2357.66586
325,5.62,5.11,0.0069,3679.64442
326,18.25,0.93,0.0056,10124.954
327,6.13,22.96,0.0028,1322.3145599999998
328,13.23,10.68,0.0076,8980.94736
329,19.28,30.0,0.0068,9177.279999999999
330,13.28,7.09,0.0063,7773.222240000001
331,3.84,37.28,0.0048,1156.0550399999997
332,21.84,13.71,0.0092,17338.07712
333,17.91,8.13,0.0082,13492.211940000001
334,3.67,13.9,0.0085,2685.8895
335,19.08,23.12,0.0002,293.37407999999994
336,20.58,38.02,0.0065,8291.064599999998
337,0.99,30.33,0.0092,634.5543600000001
338,9.13,38.84,0.0033,1842.68964
339,24.23,6.66,0.0099,22390.119180000005
340,10.97,39.52,0.0085,5639.457600000001
341,20.23,10.89,0.0096,17305.87488
342,8.49,20.49,0.0046,3105.18354
343,21.12,20.01,0.0036,6081.799679999999
344,3.78,3.9,0.0011,399.5838
345,16.1,22.54,0.0052,6484.9511999999995
346,3.89,13.68,0.0047,1578.18856
347,9.09,18.02,0.0011,819.7180200000001
348,3.51,29.99,0.0076,1867.5867599999997
349,15.73,33.88,0.001,1040.0676
350,1.62,4.79,0.0048,740.3529599999999
351,12.02,15.49,0.0027,2742.6875400000004
352,18.82,33.52,0.0012,1501.38432
353,8.81,8.92,0.0083,6660.042840000001
354,16.97,33.43,0.0085,9602.38965
355,8.23,7.45,0.0017,1294.86705
356,4.61,28.55,0.0049,1613.9840499999998
357,5.21,34.67,0.0077,2620.84361
358,21.55,27.47,0.0059,9221.826850000001
359,8.45,8.21,0.0035,2714.6892499999994
360,10.16,17.22,0.0059,4962.16432
361,20.56,10.63,0.0085,15618.301199999998
362,12.55,1.86,0.0006,738.9942
363,14.71,6.77,0.002,2742.8266000000003
364,0.48,18.77,0.0065,253.4376
365,15.17,28.94,0.0024,2587.1524799999997
366,2.03,25.03,0.0024,365.2538399999999
367,2.59,30.2,0.0042,759.2843999999999
368,24.05,13.69,0.0068,14115.1374
369,14.22,27.96,0.0062,6351.334559999999
370,19.21,28.45,0.0035,4810.664250000001
371,18.31,30.91,0.0059,7463.72361
372,17.45,20.59,0.001,1385.7045
373,9.12,32.01,0.0091,5642.62608
374,1.31,31.71,0.0024,214.70376
375,5.66,39.31,0.0081,2782.39374
376,15.01,7.95,0.0069,9533.52645
377,10.92,15.0,0.0062,5754.84
378,3.05,24.13,0.007,1619.8245
379,0.39,35.7,0.0077,193.09290000000001
380,23.23,2.87,0.0069,15568.67631
381,13.26,19.48,0.0053,5658.78456
382,12.7,24.02,0.0041,3956.2786
383,22.58,30.24,0.0037,5828.16896
384,19.86,7.27,0.0045,8287.2801
385,8.9,2.27,0.0029,2522.4112999999998
386,24.28,7.86,0.0093,20805.580560000002
387,13.55,3.86,0.0037,4819.978900000001
388,8.65,4.12,0.0049,4063.8738
389,3.4,24.88,0.0019,485.2751999999999
390,22.05,4.03,0.0059,12485.217149999999
391,20.98,26.35,0.0049,7571.3673
392,21.26,21.94,0.0007,1161.68892
393,2.59,35.57,0.0005,83.43684999999999
394,21.77,31.7,0.0014,2081.6474000000003
395,17.66,17.73,0.0068,9879.63976
396,5.01,35.97,0.0027,866.1338100000003
397,14.17,31.43,0.0042,4080.8749799999996
398,4.15,18.68,0.0071,2396.0938000000006
399,11.27,36.62,0.0076,5428.6237599999995
400,6.16,29.76,0.0021,908.6246399999999
401,7.46,32.65,0.0076,3818.4756
402,8.37,33.23,0.0084,4694.465159999999
403,21.24,38.76,0.0023,2991.6964799999996
404,10.0,37.05,0.0007,440.65
405,21.68,37.08,0.0072,9821.560319999999
406,4.29,34.71,0.0077,2156.7245700000003
407,20.83,22.25,0.0078,12632.3535
408,12.47,6.52,0.0081,9442.13436
409,0.4,25.32,0.0017,50.7824
410,15.16,13.04,0.0095,12523.979200000002
411,15.32,36.4,0.0035,3410.232
412,20.3,15.49,0.0087,14925.311099999999
413,22.85,28.12,0.0091,14946.367800000002
414,2.15,23.14,0.0097,1602.9152999999997
415,22.73,37.87,0.0083,11721.38367
416,22.63,2.74,0.0015,3301.4907
417,23.48,39.5,0.0079,11222.266
418,2.23,21.37,0.0055,964.3969500000001
419,1.38,37.92,0.0096,822.43584
420,16.04,18.19,0.0072,9448.073279999999
421,17.37,31.79,0.0063,7464.2885099999985
422,4.09,3.06,0.0002,79.29692000000001
423,9.84,28.29,0.0071,5009.947440000001
424,0.88,37.64,0.0049,268.89631999999995
425,24.91,35.3,0.0075,12087.577500000001
426,15.98,20.84,0.0073,9234.33064
427,16.38,32.55,0.0079,8728.164900000003
428,15.55,13.85,0.0039,5224.56675
429,12.22,0.72,0.0003,363.96048
430,0.91,38.7,0.0022,122.72260000000001
431,12.92,33.15,0.0037,3195.6974000000005
432,14.55,6.09,0.0007,956.47335
433,8.76,1.79,0.0015,1290.4794000000002
434,16.71,13.29,0.0036,5216.12676
435,13.01,30.73,0.0093,8381.185109999999
436,18.33,12.63,0.0079,12651.78759
437,9.93,12.86,0.0008,692.24016
438,22.13,24.8,0.0018,2995.5168
439,5.31,1.9,0.001,520.911
440,23.31,8.43,0.0058,12380.080859999998
441,0.87,38.23,0.006,322.43940000000003
442,7.52,32.11,0.0075,3828.9959999999996
443,12.35,29.9,0.0056,4848.116
444,17.93,32.76,0.0064,7715.92448
445,14.02,38.14,0.005,4336.3859999999995
446,11.96,35.81,0.0044,3377.9345599999997
447,2.86,18.07,0.0088,2062.01424
448,12.56,22.77,0.0007,679.0061599999999
449,16.34,17.66,0.0063,8476.24428
450,3.94,35.51,0.0088,2235.99728
451,16.18,24.11,0.0066,8104.14132
452,9.0,27.26,0.0094,6153.804000000001
453,10.55,25.64,0.0045,3530.241
454,12.74,7.88,0.0029,3403.4655199999997
455,13.42,16.3,0.0099,11120.2146
456,7.85,12.29,0.0062,4268.8457
457,20.62,30.72,0.0071,10142.730560000002
458,8.74,23.78,0.0093,6195.314039999999
459,22.31,27.44,0.0086,13921.79696
460,18.03,39.31,0.0018,1969.63326
461,9.26,11.7,0.0061,4987.7138
462,16.42,4.95,0.0029,4526.0909
463,17.44,7.15,0.0044,7124.937600000002
464,13.68,5.65,0.0045,5808.186
465,0.87,16.26,0.0072,524.5473599999999
466,11.86,21.94,0.0086,7961.807759999999
467,7.23,19.56,0.0084,4885.28208
468,3.76,22.15,0.0031,907.4196
469,19.91,8.86,0.0079,14335.31946
470,19.8,39.34,0.0099,11890.573200000003
471,20.0,14.32,0.0071,12166.560000000001
472,24.13,3.05,0.0013,3041.2245499999995
473,7.55,12.75,0.009,5928.6375
474,5.89,5.71,0.0053,2943.45093
475,23.96,37.06,0.0017,2563.6720799999994
476,13.42,29.38,0.0066,6254.954639999999
477,15.49,37.89,0.0048,4618.00272
478,15.55,10.19,0.0027,3770.6728500000004
479,20.51,39.36,0.0037,4601.787680000001
480,4.65,33.18,0.0012,372.8556
481,22.71,3.42,0.0004,877.33272
482,2.05,10.38,0.0001,18.3721
483,16.56,1.98,0.0015,2434.8167999999996
484,24.01,36.1,0.0058,8898.5862
485,23.02,9.1,0.0006,1255.5107999999998
486,8.97,32.24,0.0018,1094.05296
487,13.88,39.92,0.006,5003.4624
488,18.85,16.45,0.0011,1732.4092500000002
489,21.34,24.76,0.0074,11881.599839999999
490,6.59,12.45,0.0076,4384.8542
491,23.48,18.0,0.0042,8086.512
492,18.09,13.18,0.0012,1884.6885599999998
493,24.38,23.06,0.0003,562.73916
494,8.36,38.75,0.0001,51.205
495,18.87,28.97,0.0092,12331.09212
496,21.33,19.74,0.0018,3081.5024399999998
497,4.94,0.8,0.0046,2254.2208
498,9.45,4.01,0.0035,3174.86925
499,12.8,23.68,0.0006,586.1376
500,24.25,29.88,0.0027,4591.107000000001
501,7.77,4.9,0.0047,3472.9569
502,10.42,3.35,0.0001,100.7093
503,16.48,29.4,0.0047,5468.3936
504,19.35,2.51,0.009,16977.8835
505,21.98,5.39,0.0061,12685.11958
506,13.6,35.45,0.0047,4126.036
507,7.29,16.18,0.004,2444.1912
508,10.15,1.36,0.0045,4505.382
509,5.39,22.31,0.0032,1339.99712
510,21.44,17.91,0.0037,6512.03552
511,23.4,29.22,0.005,8281.26
512,5.89,35.8,0.0056,2117.5728
513,20.24,34.52,0.0045,5963.918399999999
514,9.5,39.91,0.0003,171.2565
515,3.37,25.6,0.0053,1328.8584
516,24.77,2.43,0.0082,19817.832980000003
517,0.22,29.93,0.0077,118.69858
518,14.57,0.26,0.0001,145.32118
519,2.24,37.1,0.0011,154.98560000000003
520,23.54,20.69,0.0026,4854.08924
521,18.04,37.67,0.0081,9107.908919999998
522,9.49,37.45,0.0081,4808.1559499999985
523,10.65,10.55,0.0046,4382.1555
524,7.22,0.51,0.0058,4166.24324
525,8.0,2.23,0.0042,3285.072
526,2.07,32.81,0.0029,403.34156999999993
527,2.12,9.52,0.003,575.4528
528,11.5,16.1,0.0043,4148.855
529,13.47,27.31,0.0012,1174.9611599999998
530,20.43,19.11,0.0059,9750.237929999998
531,7.35,35.33,0.0037,1758.7006500000002
532,3.85,5.49,0.0089,3238.3851500000005
533,23.62,14.67,0.0021,4232.53866
534,7.2,33.12,0.0041,1974.2976000000006
535,16.0,33.5,0.002,2128.0
536,1.11,31.53,0.0014,106.40238
537,18.71,36.05,0.0094,11247.1423
538,19.4,14.22,0.0063,10484.0316
539,4.83,23.21,0.0018,667.6122600000001
540,3.15,31.35,0.0048,1037.9879999999998
541,8.79,13.47,0.0053,4031.1731099999997
542,10.49,39.32,0.0071,4519.38572
543,20.23,12.7,0.0002,353.2158
544,11.53,7.46,0.0022,2347.36964
545,7.18,31.18,0.0018,889.4296799999998
546,21.12,19.59,0.0027,4585.299840000001
547,2.62,6.09,0.0026,639.71492
548,1.96,9.92,0.0093,1641.97824
549,10.32,6.96,0.0008,768.1382400000001
550,6.69,35.2,0.0012,520.2144
551,6.46,39.26,0.0082,3217.51928
552,5.58,10.18,0.0022,1102.63032
553,5.91,39.52,0.0068,2430.57024
554,2.13,14.0,0.0051,934.2179999999998
555,1.12,30.02,0.0007,54.864320000000006
556,12.7,1.46,0.0058,7258.456399999999
557,14.31,7.12,0.0039,5183.539919999999
558,13.02,8.21,0.0091,10875.46278
559,20.87,2.52,0.0052,10578.91952
560,24.51,28.54,0.0018,3152.6722800000002
561,14.89,33.26,0.0075,7453.1895
562,22.45,32.05,0.0042,6407.005499999998
563,22.72,8.08,0.0003,626.5267199999998
564,14.06,9.98,0.004,5062.724800000001
565,12.43,13.76,0.0086,9218.88352
566,8.95,7.16,0.0045,3739.130999999999
567,15.76,19.12,0.0087,11089.618559999999
568,17.78,31.37,0.0009,1098.2172599999997
569,12.6,0.09,0.0075,9441.494999999999
570,5.85,8.15,0.0046,2471.6834999999996
571,21.79,35.55,0.0095,13341.47225
572,13.62,39.64,0.0089,7316.718479999998
573,14.97,1.9,0.0083,12189.0231
574,5.5,9.26,0.0078,3892.7459999999996
575,13.66,35.43,0.0088,7761.830559999999
576,15.63,1.91,0.002,3066.2934000000005
577,8.17,39.39,0.0016,792.29392
578,18.91,21.49,0.004,5938.4964
579,22.32,21.83,0.0063,10991.952720000001
580,14.23,1.35,0.0002,280.7579
581,15.65,10.73,0.0066,9220.6983
582,24.99,33.48,0.001,1662.3347999999999
583,12.15,31.59,0.0053,4405.26195
584,17.66,23.34,0.0019,2572.24964
585,4.01,37.85,0.0016,398.7543999999999
586,19.36,3.05,0.0032,6006.2464
587,2.14,12.72,0.0089,1662.3348799999999
588,1.39,8.89,0.0033,417.92157
589,9.61,11.12,0.0057,4868.5797600000005
590,7.43,21.73,0.0063,3663.7404299999994
591,15.2,34.75,0.0074,7339.320000000001
592,8.56,31.22,0.009,5298.8112
593,6.31,17.03,0.0026,1361.2058199999997
594,20.51,22.63,0.0067,10631.953290000001
595,2.83,39.82,0.005,851.547
596,19.55,21.11,0.0026,4009.9787000000006
597,23.26,25.28,0.0088,15294.287360000002
598,6.74,22.34,0.0093,4867.88412
599,10.15,14.27,0.0036,3132.5742000000005
600,15.94,39.18,0.0034,3296.20072
601,2.22,4.55,0.0014,296.65860000000004
602,3.32,25.28,0.0036,893.0534399999999
603,12.34,37.73,0.0019,1459.98242
604,18.92,16.51,0.0061,9635.74788
605,7.98,18.9,0.0035,2265.1230000000005
606,22.43,10.91,0.002,3996.5773999999997
607,22.84,34.05,0.0004,602.5192
608,22.94,32.37,0.0099,15359.178780000002
609,2.88,37.48,0.0086,1548.49536
610,1.26,31.48,0.0019,164.03688
611,10.7,7.26,0.0083,8236.2394
612,24.99,28.26,0.0085,15238.6521
613,15.68,0.93,0.0077,11961.31552
614,10.69,32.08,0.0028,2032.98144
615,14.59,39.93,0.0032,2804.5481600000003
616,20.32,0.01,0.0099,20114.788320000003
617,2.19,14.69,0.0026,485.7551399999999
618,19.88,7.52,0.0059,10847.16416
619,11.73,36.89,0.0028,2072.78484
620,6.01,5.49,0.0045,2556.0229499999996
621,23.58,23.95,0.0051,9145.6209
622,23.83,20.17,0.0001,190.23489
623,23.15,28.62,0.0041,6775.0327
624,15.41,29.03,0.0078,8530.45206
625,7.2,17.47,0.0087,5169.6792000000005
626,1.56,39.78,0.0021,197.28072
627,1.5,30.67,0.0033,343.1835
628,23.77,10.07,0.0067,14322.16187
629,3.52,19.13,0.0018,512.39232
630,6.64,32.31,0.0029,1303.43864
631,10.35,2.42,0.0038,3837.8213999999994
632,14.27,1.53,0.0031,4356.01739
633,5.41,18.77,0.0027,1186.5266100000003
